,id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx,image_link
14916,,,Exaudi deus orationem meam et ne ,g00785,,,,F-G : Ms 0084 (Ms. 395 Rés.),,116v,,,,feast_0639,genre_in,,http://musmed.eu/source/10075,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,http://pagella.bm-grenoble.fr/img-viewer/Ms/Ms0395/viewer.html?base=BMG&np=B381856103_Ms0395A01.jpg&ns=B381856103_Ms0395B116v.jpg
14918,,,Exaudi deus orationem meam et ne ,g00785,,,,F-Pn : Ms Lat 09436,,36r,,,,feast_0639,genre_in,,http://musmed.eu/source/15586,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b105511278/f75.image
14920,,,Exaudi deus orationem meam et ne ,g00785,,,,I-BGc : MA 150 (Psi III.8),,038r,,,,feast_0639,genre_in,,http://musmed.eu/source/41838,,,Exaudi deus orationem meam et ne dispexeris deprecationem meam intende in me et exaudi me,,,,,,https://www.bdl.servizirl.it/bdl/bookreader/index.html?path=fe&cdOggetto=3862#page/81/mode/1up
14921,,,Exaudi deus orationem meam et ne ,g00785,,,,D-KNd : Ms 1001b,,083v,,,,feast_0639,genre_in,,http://musmed.eu/source/11493,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,http://www.ceec.uni-koeln.de/ceec-cgi/kleioc/0010/exec/pagemed/%22kn28-1001b_166.jpg%22/segment/%22body%22
14922,,,Exaudi deus orationem meam et ne ,g00785,,,,CH-SGs : Cod 0338,,146,,,,feast_0639,genre_in,,http://musmed.eu/source/14272,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://www.e-codices.unifr.ch/en/csg/0338/146/0/Sequence-485
14924,,,Exaudi deus orationem meam et ne ,g00785,,,,GB-Lbl : Harley 4951,,183r,,,,feast_0639,genre_in,,http://musmed.eu/source/29527,,,Exaudi deus orationem meam et ne dispexeris deprecationem meam intende in me et exaudi me,,,,,,http://www.bl.uk/manuscripts/Viewer.aspx?ref=harley_ms_4951_f183r
14925,,,Exaudi deus orationem meam et ne ,g00785,,,,V-CVbav : Archivio di San Pietro F.22,,035r,,,,feast_0639,genre_in,,http://musmed.eu/source/14749,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.F.22/69
14927,,,Exaudi deus orationem meam et ne ,g00785,,,,CH-SGs : Cod 0374,,073,,,,feast_0639,genre_in,,http://musmed.eu/source/14286,,,Exaudi deus orationem meam et ne dispexeris deprecationem meam intende in me et exaudi me,,,,,,https://www.e-codices.unifr.ch/en/csg/0374/73/0/Sequence-508
14930,,,Exaudi deus orationem meam et ne ,g00785,,,,F-Pn : Ms Lat 00903,,052r,,,,feast_0639,genre_in,,http://musmed.eu/source/13022,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b10506538t/f121.image
14931,,,Exaudi deus orationem meam et ne ,g00785,,,,F-Pn : NAL 01235,,059v,,,,feast_0639,genre_in,,http://musmed.eu/source/13534,,,Exaudi deus orationem meam et ne dispexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b8432301z/f130.image
14933,,,Exaudi deus orationem meam et ne ,g00785,,,,D-W : Cod Guelf Helmst 1008,,083r,,,,feast_0639,genre_in,,http://musmed.eu/source/15154,,,Exaudi deus orationem meam et ne dispexeris deprecationem meam intende in me et exaudi me,,,,,,http://diglib.hab.de/mss/1008-helmst/start.htm?image=00169
14934,,,Exaudi deus orationem meam et ne ,g00785,,,,F-SOM : Ms 0252,,070r,,,,feast_0639,genre_in,,http://musmed.eu/source/14203,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://bvmm.irht.cnrs.fr/iiif/18074/canvas/canvas-1490386/view
14936,,,Exaudi deus orationem meam et ne ,g00785,,,,F-Pn : NAL 01890,,029v,,,,feast_0639,genre_in,,http://musmed.eu/source/13550,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b8426272n/f66.item.zoom
14937,,,Exaudi deus orationem *,g00785,,,,F-Pn : NAL 01890,,170v,,,,feast_0577,genre_in,,http://musmed.eu/source/13550,,,Exaudi deus orationem *,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b8426272n/f348.item.zoom
14938,,,Exaudi deus orationem meam et ne ,g00785,,,,F-Pn : Ms Lat 00833,,054r,,,,feast_0639,genre_in,,http://musmed.eu/source/13007,,,Exaudi deus orationem meam et ne despexeris deprecationem meam intende in me et exaudi me,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b84323061/f115.item.zoom
